"동별(1)",동별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"동별(1)",동별(2),합계,합계,합계,합계,합계,합계,노상,노상,노상,노상,노상,노상,노외,노외,노외,노외,노외,노외,노외,노외,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설
"동별(1)",동별(2),소계,소계,공영,공영,민영,민영,소계,소계,시영,시영,구영,구영,소계,소계,시영,시영,구영,구영,민영,민영,소계,소계,일반주택,일반주택,공동주택,공동주택,일반건축물,일반건축물
"동별(1)",동별(2),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수),개소 (개소),면수 (면수)
"합계",소계,306732,4501875,9310,177281,297422,4324594,8241,104496,63,1692,8178,102804,1857,101064,68,15165,1001,57620,788,28279,296634,4296315,115597,282426,87393,2361583,93644,1652306
"합계",종로구,8232,92062,185,5833,8047,86229,147,1987,10,326,137,1661,98,5052,5,2668,33,1178,60,1206,7987,85023,2658,6748,1448,25103,3881,53172
"합계",중구,4269,109153,170,5399,4099,103754,139,1236,19,375,120,861,73,5999,5,2034,26,2129,42,1836,4057,101918,865,2293,735,28773,2457,70852
"합계",용산구,7383,118632,386,6375,6997,112257,345,3403,2,21,343,3382,71,3596,4,847,37,2125,30,624,6967,111633,2708,6264,2121,63687,2138,41682
"합계",성동구,6711,134544,270,7056,6441,127488,236,4278,1,31,235,4247,59,3436,1,10,33,2768,25,658,6416,126830,2948,6577,894,75816,2574,44437
"합계",광진구,17450,134389,69,4856,17381,129533,20,3032,1,19,19,3013,70,2273,-,-,49,1824,21,449,17360,129084,9248,21926,4365,63783,3747,43375
"합계",동대문구,10080,148103,603,5862,9477,142241,569,3733,1,103,568,3630,48,2409,3,233,31,1896,14,280,9463,141961,4074,9395,1750,81835,3639,50731
"합계",중랑구,13251,132884,571,11179,12680,121705,519,6106,-,-,519,6106,80,6006,3,782,49,4291,28,933,12652,120772,4164,10299,3927,80089,4561,30384
"합계",성북구,9503,155254,228,6447,9275,148807,127,4571,1,26,126,4545,149,4046,1,21,100,1855,48,2170,9227,146637,3123,8763,2942,94670,3162,43204
"합계",강북구,11645,96636,51,5286,11594,91350,23,3056,1,16,22,3040,50,2704,-,-,28,2230,22,474,11572,90876,5900,11979,3533,58673,2139,20224
"합계",도봉구,9868,110933,465,5258,9403,105675,412,2897,-,-,412,2897,75,2901,3,599,50,1762,22,540,9381,105135,4240,7927,3213,73753,1928,23455
"합계",노원구,6024,178194,178,3662,5846,174532,138,2001,1,23,137,1978,52,2058,2,95,38,1566,12,397,5834,174135,1941,6683,1842,128465,2051,38987
"합계",은평구,18263,176603,141,5160,18122,171443,111,2856,1,14,110,2842,68,3062,1,399,29,1905,38,758,18084,170685,6744,12568,7733,114433,3607,43684
"합계",서대문구,10496,132942,755,5899,9741,127043,671,4236,1,7,670,4229,105,2045,1,27,83,1636,21,382,9720,126661,4986,11998,2600,67010,2134,47653
"합계",마포구,13162,199423,51,6828,13111,192595,29,4237,-,-,29,4237,62,4084,2,523,20,2068,40,1493,13071,191102,4141,11422,3975,97000,4955,82680
"합계",양천구,11017,166327,498,7454,10519,158873,442,2762,-,-,442,2762,65,5281,4,228,52,4464,9,589,10510,158284,3238,7373,4407,114151,2865,36760
"합계",강서구,17639,315812,665,8895,16974,306917,631,4390,1,59,630,4331,59,5606,10,1340,24,3165,25,1101,16949,305816,4747,12572,7401,151155,4801,142089
"합계",구로구,9692,191823,277,5149,9415,186674,243,2663,5,149,238,2514,70,3470,4,583,30,1903,36,984,9379,185690,3631,7473,2707,104569,3041,73648
"합계",금천구,9209,139148,69,3715,9140,135433,19,2006,2,58,17,1948,63,2047,1,128,49,1581,13,338,9127,135095,4121,8827,2684,53485,2322,72783
"합계",영등포구,10105,203359,1987,9481,8118,193878,1954,5386,9,233,1945,5153,52,4911,3,943,30,3152,19,816,8099,193062,3880,8672,1555,80793,2664,103597
"합계",동작구,8769,137661,117,3336,8652,134325,81,2337,-,-,81,2337,67,1905,1,64,35,935,31,906,8621,133419,3894,9089,3080,97380,1647,26950
"합계",관악구,20446,153960,59,6970,20387,146990,30,5292,1,62,29,5230,53,2346,2,91,27,1587,24,668,20363,146322,10602,23874,4697,80247,5064,42201
"합계",서초구,14690,310949,769,7292,13921,303657,719,4556,1,47,718,4509,111,8444,1,183,49,2553,61,5708,13860,297949,3236,11798,2907,123559,7717,162592
"합계",강남구,20566,413898,160,13087,20406,400811,126,8242,4,95,122,8147,141,8283,5,918,29,3927,107,3438,20299,397373,5863,22107,4397,176570,10039,198696
"합계",송파구,22745,339227,547,16802,22198,322425,488,12253,1,28,487,12225,87,5693,3,911,56,3638,28,1144,22170,321281,7606,19788,8579,195897,5985,105596
"합계",강동구,15517,209959,39,10000,15478,199959,22,6980,-,-,22,6980,29,3407,3,1538,14,1482,12,387,15466,199572,7039,16011,3901,130687,4526,52874
